last_name, first_name,year,pitch_hand,n,n_fastball_formatted,fastball_avg_speed,fastball_avg_spin,fastball_avg_break,n_breaking_formatted,breaking_avg_speed,breaking_avg_spin,breaking_avg_break,n_offspeed_formatted,offspeed_avg_speed,offspeed_avg_spin,offspeed_avg_break,
Mize, Casey,2020,R,543,52.3,93.6,2202,18.8,29.8,85.8,2303,8.5,17.8,86,1260,12.9,
Miley, Wade,2020,L,284,64.4,86.8,2313,9.4,11.9,75.8,2482,14.1,23.5,82.1,1840,16.1,
Merryweather, Julian,2020,R,233,57.9,96.7,2324,18.8,24.4,83.4,2376,9.9,17.5,80.6,1363,14,
McFarland, T.J.,2020,L,331,59.8,88.5,1957,16.2,23.5,78.2,2234,8.1,16.6,81.8,1673,14.3,
Mayers, Mike,2020,R,512,57.8,92.5,2298,15.3,42.1,84.8,2139,4.3,,,,,
Marquez, German,2020,R,1226,52.2,95.6,2152,15.5,42.4,86.5,2590,5.2,5.3,86.8,1816,16.4,
Lynn, Lance,2020,R,1399,90.4,92.5,2486,14.4,8.3,84,2618,6.5,1.1,84.6,1781,12.3,
Lyles, Jordan,2020,R,993,47.5,92.2,2141,19.4,42.4,81.5,2459,13.2,9.9,86.8,1464,17,
Lockett, Walker,2020,R,230,57.3,92.1,2301,13.3,22.1,80.8,2645,10.8,20.4,86.9,1617,15,
Lamet, Dinelson,2020,R,1046,46.5,97,2484,18.8,53.4,86.5,2616,6.3,,,,,
Kuhl, Chad,2020,R,789,43.7,93.9,2010,18.1,52.0,85.6,2605,7.7,4.1,88.1,1643,14.8,
Kremer, Dean,2020,R,346,70.2,91.3,2374,17.5,27.1,75.5,2351,18.1,2.6,85.4,1936,18.2,
King, John,2020,L,186,63.4,93.1,2010,16.7,19.3,81.8,2498,6.3,17.2,78.4,1707,15.9,
Keller, Mitch,2020,R,384,55.7,93.9,2327,18.1,41.1,82.8,2507,11,3.1,88.8,1807,15.9,
Kay, Anthony,2020,L,409,58.6,93.4,2373,16.6,23.2,77.9,2540,15,18.0,86.3,1771,15.4,
Junis, Jakob,2020,R,394,49.4,91,2104,14.8,46.1,80.1,2435,16.8,4.3,84.3,1686,12.1,
Hernandez, Jonathan,2020,R,497,47.2,97.7,2230,19.9,39.8,89.1,2365,6.5,12.8,90.9,2364,20,
Herget, Jimmy,2020,R,346,54.9,93,2343,18,41.6,81.7,2599,7.5,3.4,85.2,1994,15.7,
Hart, Kyle,2020,L,260,41.5,89.1,2061,18.2,40.0,81.7,2183,7,18.4,79.7,1678,16,
Hand, Brad,2020,L,363,47.9,91.4,2449,19.5,52.0,79.5,2384,16,,,,,
Gonsolin, Tony,2020,R,705,47.5,95.1,2489,20.5,22.6,86,2735,7.6,29.7,85.1,1838,17.4,
Godley, Zack,2020,R,553,51.7,88.9,2168,10.2,38.1,82,2138,7.4,10.1,83.1,1699,13.2,
Gibaut, Ian,2020,R,241,54.3,95.2,2053,17.2,29.4,86.6,2275,8.3,16.1,85.5,1878,17.2,
Garcia, Rony,2020,R,393,63.1,93.3,2276,15,23.4,85.6,2206,6.4,13.4,88,1885,16.5,
