last_name, first_name,year,player_age,pitch_hand,n,fastball_avg_speed,fastball_avg_spin,fastball_avg_break,breaking_avg_speed,breaking_avg_spin,breaking_avg_break,offspeed_avg_speed,offspeed_avg_spin,offspeed_avg_break,
Gallegos, Giovanny,2019,28,R,1134,93.7,2428,21.3,85.3,2242,2.9,87.2,1943,20,
Erlin, Robbie,2019,29,L,959,90.6,2320,18.9,80,2565,15.5,83.5,1546,13.5,
Diekman, Jake,2019,32,L,1184,95.7,2201,17.9,85,2813,7.1,90,1609,17.5,
Devenski, Chris,2019,29,R,1144,94.7,2369,19.3,81.6,2298,10.2,84,1659,15.9,
Conley, Adam,2019,29,L,1061,95.3,2330,19.7,85,2143,4.6,86.5,2033,18.9,
Cole, Gerrit,2019,29,R,3360,97.1,2529,21.7,86.6,2736,11.2,88.6,1870,19.5,
Claudio, Alex,2019,27,L,969,85.6,1987,18.4,76.5,2237,7.1,73.3,2177,20,
Brooks, Aaron,2019,29,R,1898,91.9,2047,19.7,84.7,2442,3.9,84.7,1642,14.8,
Brewer, Colten,2019,27,R,984,93.5,2362,8.4,83.3,2772,17.4,89.3,1894,9.7,
Brebbia, John,2019,29,R,1213,93.5,2389,20.1,83.7,2605,9.1,87.2,2174,18.4,
Brault, Steven,2019,27,L,2001,90.4,2055,13.7,79.7,2166,8.1,84.3,1582,10.5,
Bradley, Archie,2019,27,R,1284,95.5,2225,18.4,82.1,1978,9.4,88.4,1533,14.4,
Barria, Jaime,2019,23,R,1498,91.7,2243,19.1,83.9,2239,7.7,83.2,1478,15.5,
Bailey, Homer,2019,33,R,2733,92.9,2090,17.1,83.9,1872,9.1,84.1,1125,9.3,
Baez, Pedro,2019,31,R,1091,95.8,2328,19,86.3,1740,5.6,86.2,1999,18.3,
deGrom, Jacob,2019,31,R,3191,96.9,2385,17.4,91.8,2460,7.6,90.3,1703,14.4,
Yamamoto, Jordan,2019,23,R,1376,90,2320,15.8,76.9,2718,17.3,82.9,1855,17.3,
Thornton, Trent,2019,26,R,2759,91.6,2450,14.6,80.1,3073,14.4,83.3,1509,12.9,
Teheran, Julio,2019,28,R,3034,89.6,2352,14.7,80.4,2643,7.4,83.6,1704,16.8,
Strasburg, Stephen,2019,31,R,3383,93.8,2152,18.2,81.3,2767,15.2,87.7,1679,15.9,
Sampson, Adrian,2019,28,R,2056,92.5,2016,18.3,83.9,2595,4.5,87.4,1856,18,
Sabathia, CC,2019,39,L,1729,88.5,2156,12,79.2,2208,11.4,82.7,1885,12,
Rogers, Taylor,2019,29,L,1040,94.8,2074,19,82,2575,12.4,,,,
Roark, Tanner,2019,33,R,2884,92,2113,19,82.4,2436,11.8,84.1,1701,17.3,
Peacock, Brad,2019,31,R,1509,92.1,2261,20.6,80.8,2712,16.4,83.4,1970,19.7,
Nova, Ivan,2019,32,R,3005,91.3,2181,16.4,79.9,2258,7.2,86.2,2000,18.2,
Minor, Mike,2019,32,L,3357,92.5,2650,16.2,84.3,2660,9,86.2,2287,21.2,
Mikolas, Miles,2019,31,R,2804,93.6,2268,17.1,82.9,2451,11.1,87.8,1705,15.9,
Mengden, Daniel,2019,26,R,1048,90,2169,16.9,78.6,2440,12.7,82.9,1945,18.7,
McFarland, T.J.,2019,30,L,894,89.4,1915,17.6,80.9,2252,6.5,82,1731,16.8,
McCarthy, Kevin,2019,27,R,878,90.7,2021,13.8,84,2124,4.4,83.9,1808,15.7,
Margevicius, Nick,2019,23,L,958,88.3,2159,17.6,76.9,1953,8.1,79,1816,12.5,
Liriano, Francisco,2019,36,L,1133,93,2051,17.4,87,2289,7.4,87,1683,16,
