,PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
90,AndrewA McCutchenMcCutchen,PHI,57,217,32,55,9,0,10,34,22,48,4,0,0.253,0.324,0.433,0.757
91,MiguelM SanóSano,MIN,53,186,31,38,12,0,13,25,18,90,0,0,0.204,0.278,0.478,0.7559999999999999
92,AnthonyA RizzoRizzo,CHC,58,203,26,45,6,0,11,24,28,38,3,1,0.222,0.342,0.414,0.755
93,AsdrubalA CabreraCabrera,WSH,52,190,23,46,9,3,8,31,19,40,0,0,0.242,0.305,0.447,0.752
94,FranciscoF LindorLindor,CLE,60,236,30,61,13,0,8,27,24,41,6,2,0.258,0.335,0.415,0.75
95,MiguelM CabreraCabrera,DET,57,204,28,51,4,0,10,35,24,51,1,0,0.25,0.329,0.417,0.746
96,LuisL RobertRobert,CWS,56,202,33,47,8,0,11,31,20,73,9,2,0.233,0.302,0.436,0.738
97,NolanN ArenadoArenado,COL,48,182,23,46,9,0,8,26,15,20,0,0,0.253,0.303,0.434,0.738
98,HunterH DozierDozier,KC,44,158,29,36,4,2,6,12,27,48,4,0,0.228,0.344,0.392,0.736
99,0MattM OlsonOlson1,OAK,60,210,28,41,4,1,14,42,34,77,1,0,0.195,0.31,0.424,0.7340000000000001
100,OrlandoO ArciaArcia,MIL,59,173,22,45,10,1,5,20,14,32,2,0,0.26,0.317,0.416,0.7340000000000001
101,KetelK MarteMarte,ARI,45,181,19,52,14,1,2,17,7,21,1,0,0.287,0.32299999999999995,0.409,0.732
102,NickN AhmedAhmed,ARI,57,199,29,53,10,1,5,29,18,46,4,0,0.266,0.327,0.402,0.7290000000000001
103,EvanE LongoriaLongoria,SF,53,193,26,49,10,1,7,28,11,39,0,1,0.254,0.297,0.425,0.722
104,MaxM MuncyMuncy,LAD,58,203,36,39,4,0,12,27,39,60,1,0,0.192,0.331,0.389,0.72
105,AustinA RileyRiley,ATL,51,188,24,45,7,1,8,27,16,49,0,0,0.239,0.301,0.415,0.716
106,RyanR McMahonMcMahon,COL,52,172,23,37,6,1,9,26,18,66,0,1,0.215,0.295,0.419,0.7140000000000001
107,CoreyC DickersonDickerson,MIA,52,194,25,50,5,1,7,17,15,35,1,1,0.258,0.311,0.402,0.713
108,RioR RuizRuiz,BAL,54,185,25,41,11,0,9,32,17,46,1,2,0.222,0.28600000000000003,0.4270000000000001,0.713
109,AdalbertoA MondesiMondesi,KC,59,219,33,56,11,3,6,22,11,70,24,8,0.256,0.294,0.416,0.71
110,CarlosC CorreaCorrea,HOU,58,201,22,53,9,0,5,25,16,49,0,0,0.264,0.326,0.383,0.7090000000000001
111,KestonK HiuraHiura,MIL,59,217,30,46,4,0,13,32,16,85,3,2,0.212,0.297,0.41,0.7070000000000001
112,VictorV ReyesReyes,DET,57,202,30,56,7,2,4,14,9,45,8,2,0.277,0.315,0.391,0.706
113,YoanY MoncadaMoncada,CWS,52,200,28,45,8,3,6,24,28,72,0,0,0.225,0.32,0.385,0.705
114,RamonR LaureanoLaureano,OAK,54,183,27,39,8,1,6,25,24,58,2,1,0.213,0.338,0.366,0.7040000000000001
115,KyleK SchwarberSchwarber,CHC,59,191,30,36,6,0,11,24,30,66,1,0,0.188,0.308,0.393,0.701
116,IsiahI Kiner-FalefaKiner-Falefa,TEX,58,211,28,59,4,3,3,10,14,32,8,5,0.28,0.329,0.37,0.6990000000000001
117,CarlosC SantanaSantana,CLE,60,206,34,41,7,0,8,30,47,43,0,0,0.199,0.349,0.35,0.698
118,HanserH AlbertoAlberto,BAL,54,219,35,62,15,0,3,22,5,30,3,0,0.28300000000000003,0.306,0.393,0.698
119,JoshJ ReddickReddick,HOU,56,188,22,46,11,1,4,23,20,42,1,0,0.245,0.316,0.378,0.693
120,TommyT EdmanEdman,STL,55,204,29,51,7,1,5,26,16,48,2,4,0.25,0.317,0.368,0.685
121,J.D.J MartinezMartinez,BOS,54,211,22,45,16,0,7,27,22,59,1,0,0.213,0.29100000000000004,0.389,0.68
122,MarcusM SemienSemien,OAK,53,211,28,47,9,1,7,23,25,50,4,0,0.223,0.305,0.374,0.68
123,JoeyJ GalloGallo,TEX,57,193,23,35,8,0,10,26,29,79,2,0,0.181,0.301,0.378,0.679
