,PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,caret-upcaret-downOPS
18,119HanserH AlbertoAlberto2B119‌‌‌,BAL,54,219,35,62,15,0,3,22,5,30,3,0,0.28300000000000003,0.306,0.39299999999999996,0.698
19,120JoshJ ReddickReddickRF120‌‌‌,HOU,56,188,22,46,11,1,4,23,20,42,1,0,0.245,0.316,0.37799999999999995,0.693
20,121TommyT EdmanEdman3B121‌‌‌,STL,55,204,29,51,7,1,5,26,16,48,2,4,0.25,0.317,0.368,0.685
21,122J.D.J MartinezMartinezDH122‌‌‌,BOS,54,211,22,45,16,0,7,27,22,59,1,0,0.213,0.29100000000000004,0.389,0.68
22,123MarcusM SemienSemienSS123‌‌‌,OAK,53,211,28,47,9,1,7,23,25,50,4,0,0.223,0.305,0.374,0.68
23,124JoeyJ GalloGalloRF124‌‌‌,TEX,57,193,23,35,8,0,10,26,29,79,2,0,0.18100000000000002,0.301,0.37799999999999995,0.679
24,125KoltenK WongWong2B125‌‌‌,STL,53,181,26,48,4,2,1,16,20,30,5,2,0.265,0.35,0.326,0.6759999999999999
0,126J.P.J CrawfordCrawfordSS126‌‌‌,SEA,53,204,33,52,7,2,2,24,23,39,6,3,0.255,0.336,0.33799999999999997,0.674
1,127NickN SolakSolakLF127‌‌‌,TEX,58,209,27,56,10,0,2,23,18,42,7,1,0.268,0.326,0.344,0.6709999999999999
2,128JoshJ BellBell1B128‌‌‌,PIT,57,195,22,44,3,0,8,22,22,59,0,0,0.226,0.305,0.364,0.669
3,129AdamA FrazierFrazier2B129‌‌‌,PIT,58,209,22,48,7,0,7,23,17,35,1,3,0.23,0.297,0.364,0.6609999999999999
4,130AvisailA GarcíaGarciaCF130‌‌‌,MIL,53,181,20,43,10,0,2,15,20,49,1,3,0.23800000000000002,0.33299999999999996,0.326,0.659
5,131YuliY GurrielGurriel1B131‌‌‌,HOU,57,211,27,49,12,1,6,22,12,27,0,1,0.23199999999999998,0.27399999999999997,0.384,0.6579999999999999
6,132JorgeJ PolancoPolancoSS132‌‌‌,MIN,55,209,22,54,8,0,4,19,13,35,4,2,0.258,0.304,0.354,0.6579999999999999
