,PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,caret-upcaret-downOPS
8,84EloyE JiménezJimenezLF84‌‌‌,CWS,--,135,21,35,6,0,7,20,11,45,0,0,0.259,0.322,0.45899999999999996,0.7809999999999999
9,85AvisailA GarcíaGarciaRF85‌‌‌,TB,--,162,22,43,7,1,7,19,14,40,0,1,0.265,0.32799999999999996,0.451,0.778
10,86FranciscoF LindorLindorSS86‌‌‌,CLE,--,198,38,51,11,0,8,24,23,32,8,1,0.258,0.341,0.434,0.775
11,87StarlingS MarteMarteCF87‌‌‌,PIT,--,134,18,36,8,2,6,16,2,28,7,2,0.26899999999999996,0.281,0.493,0.773
12,88AsdrubalA CabreraCabrera3B88‌‌‌,WSH,--,117,13,31,8,0,3,23,19,20,1,0,0.265,0.35700000000000004,0.41,0.767
13,89MattM OlsonOlson1B89‌‌‌,OAK,--,157,22,35,7,0,11,27,9,41,0,0,0.223,0.289,0.478,0.767
14,90EddieE RosarioRosarioLF90‌‌‌,MIN,--,153,21,43,11,0,5,27,8,23,0,0,0.281,0.315,0.451,0.7659999999999999
15,91JoshJ BellBell1B91‌‌‌,PIT,--,143,18,32,5,0,9,25,17,42,0,1,0.22399999999999998,0.313,0.44799999999999995,0.7609999999999999
16,92KyleK SchwarberSchwarberLF92‌‌‌,CHC,--,109,17,25,4,1,6,18,11,36,0,0,0.22899999999999998,0.306,0.45,0.7559999999999999
17,93BryanB ReynoldsReynoldsLF93‌‌‌,PIT,--,144,20,38,10,0,5,17,9,36,0,0,0.264,0.318,0.43799999999999994,0.7559999999999999
18,94MiguelM RojasRojasSS94‌‌‌,MIA,--,138,13,41,6,0,3,14,10,11,0,2,0.297,0.34700000000000003,0.406,0.752
19,95MarcellM OzunaOzunaLF95‌‌‌,STL,--,83,14,18,4,0,6,20,6,24,0,0,0.217,0.27,0.48200000000000004,0.752
20,96FreddieF FreemanFreeman1B96‌‌‌,ATL,--,161,30,41,6,0,8,24,11,44,0,0,0.255,0.309,0.441,0.75
21,97LorenzoL CainCainCF97‌‌‌,MIL,--,159,26,42,7,0,6,14,16,30,9,1,0.264,0.326,0.42100000000000004,0.747
22,98RafaelR DeversDevers3B98‌‌‌,BOS,--,208,37,56,15,0,7,29,6,42,0,1,0.26899999999999996,0.301,0.442,0.7440000000000001
23,99JonathanJ VillarVillar2B99‌‌‌,BAL,--,227,30,60,9,1,9,25,16,66,9,5,0.264,0.31,0.43200000000000005,0.742
24,100VictorV RoblesRoblesCF100‌‌‌,WSH,--,137,21,34,9,1,3,13,8,32,12,4,0.248,0.34600000000000003,0.39399999999999996,0.74
0,101MichaelM BrantleyBrantleyLF101‌‌‌,HOU,--,163,17,46,8,0,3,22,15,27,1,2,0.282,0.353,0.387,0.74
1,102KoltenK WongWong2B102‌‌‌,STL,--,111,11,32,4,0,3,11,5,18,4,0,0.28800000000000003,0.33299999999999996,0.405,0.7390000000000001
2,103BrianB AndersonAnderson3B103‌‌‌,MIA,--,112,8,26,5,0,6,12,6,30,0,0,0.23199999999999998,0.301,0.43799999999999994,0.738
3,104YolmerY SánchezSanchez2B104‌‌‌,CWS,--,120,14,35,7,1,1,10,10,24,1,1,0.292,0.34600000000000003,0.392,0.738
4,105DavidD FletcherFletcher3B105‌‌‌,LAA,--,181,33,50,9,1,3,12,21,11,1,1,0.276,0.35,0.387,0.736
5,106KoleK CalhounCalhounRF106‌‌‌,LAA,--,165,23,35,5,0,10,27,23,44,1,0,0.212,0.312,0.424,0.736
6,107ElvisE AndrusAndrusSS107‌‌‌,TEX,--,182,25,50,9,2,4,22,12,30,9,1,0.275,0.318,0.41200000000000003,0.73
7,108KevinK NewmanNewmanSS108‌‌‌,PIT,--,126,21,36,5,2,1,5,9,12,2,3,0.28600000000000003,0.348,0.381,0.7290000000000001
8,109JorgeJ PolancoPolancoSS109‌‌‌,MIN,--,196,25,53,10,1,6,24,10,43,1,1,0.27,0.305,0.423,0.728
9,110AdamA JonesJonesRF110‌‌‌,ARI,--,157,21,41,11,1,4,22,10,33,0,0,0.261,0.306,0.42,0.726
10,111FreddyF GalvisGalvisSS111‌‌‌,CIN,--,180,16,51,13,0,4,19,3,38,2,0,0.28300000000000003,0.295,0.42200000000000004,0.7170000000000001
11,112CoreyC SeagerSeagerSS112‌‌‌,LAD,--,167,19,40,8,0,6,24,14,44,0,0,0.24,0.308,0.395,0.703
12,113MichaelM ConfortoConfortoRF113‌‌‌,NYM,--,174,17,42,7,0,6,26,15,50,1,1,0.24100000000000002,0.316,0.385,0.701
13,114AlexA GordonGordonLF114‌‌‌,KC,--,153,17,38,8,0,3,22,13,31,2,0,0.248,0.331,0.359,0.691
14,115JoseJ IglesiasIglesiasSS115‌‌‌,CIN,--,122,16,33,2,1,3,13,6,14,0,2,0.27,0.31,0.377,0.687
15,116ColinC MoranMoran3B116‌‌‌,PIT,--,77,6,21,4,0,2,11,1,18,0,1,0.273,0.282,0.40299999999999997,0.685
16,117MallexM SmithSmithCF117‌‌‌,SEA,--,148,27,39,5,2,1,8,14,37,19,5,0.264,0.33899999999999997,0.345,0.684
17,118OrlandoO ArciaArciaSS118‌‌‌,MIL,--,121,15,29,3,1,4,10,11,24,1,2,0.24,0.304,0.38,0.684
18,119DexterD FowlerFowlerRF119‌‌‌,STL,--,108,15,23,3,0,4,13,18,27,0,0,0.213,0.331,0.35200000000000004,0.6829999999999999
19,120Shin-SooS ChooChooLF120‌‌‌,TEX,--,166,26,38,4,0,6,19,14,53,4,0,0.22899999999999998,0.317,0.361,0.679
20,121PaulP DeJongDeJongSS121‌‌‌,STL,--,113,19,25,7,0,3,10,15,33,3,0,0.221,0.315,0.363,0.6779999999999999
21,122AdamA FrazierFrazier2B122‌‌‌,PIT,--,143,14,37,8,2,1,11,9,22,0,2,0.259,0.307,0.364,0.6709999999999999
22,123BrandonB BeltBelt1B123‌‌‌,SF,--,133,15,28,7,0,3,12,23,40,0,0,0.21100000000000002,0.33299999999999996,0.331,0.664
23,124JoeyJ VottoVotto1B124‌‌‌,CIN,--,152,16,37,7,0,1,10,22,44,2,0,0.243,0.34700000000000003,0.309,0.6559999999999999
24,125BrettB GardnerGardnerCF125‌‌‌,NYY,--,132,19,28,6,1,5,17,9,32,0,1,0.212,0.268,0.386,0.654
0,126VladimirV Guerrero Jr.Guerrero Jr.3B126‌‌‌,TOR,--,130,17,28,5,0,4,15,15,23,0,0,0.215,0.297,0.34600000000000003,0.643
1,127CesarC HernandezHernandez2B127‌‌‌,PHI,--,171,14,45,9,0,1,16,12,22,1,1,0.263,0.308,0.33299999999999996,0.6409999999999999
2,128JackieJ Bradley Jr.Bradley Jr.CF128‌‌‌,BOS,--,164,19,35,8,0,4,16,16,56,3,1,0.213,0.305,0.335,0.64
3,129JasonJ KipnisKipnis2B129‌‌‌,CLE,--,155,17,38,6,0,3,15,9,26,0,0,0.245,0.29100000000000004,0.342,0.633
4,130DanielD VogelbachVogelbach1B130‌‌‌,SEA,--,124,18,20,4,0,5,17,20,40,0,0,0.161,0.28800000000000003,0.315,0.602
5,131EricE HosmerHosmer1B131‌‌‌,SD,--,156,12,36,9,1,1,16,11,33,0,0,0.231,0.28,0.321,0.6
6,132BrandonB CrawfordCrawfordSS132‌‌‌,SF,--,140,14,33,7,1,1,9,7,28,1,1,0.23600000000000002,0.27699999999999997,0.321,0.598
7,133WillyW AdamesAdamesSS133‌‌‌,TB,--,182,18,33,5,0,8,15,13,55,1,1,0.18100000000000002,0.235,0.341,0.575
8,134JasonJ HeywardHeywardRF134‌‌‌,CHC,--,112,9,23,4,0,2,11,8,29,0,0,0.205,0.258,0.295,0.5529999999999999
9,135JocJ PedersonPedersonLF135‌‌‌,LAD,--,49,6,11,2,0,0,1,1,15,0,0,0.22399999999999998,0.24,0.265,0.505
